nominal;data;curs;rub;
100;01.02.19;93.6357;0.936357;1252
100;02.02.19;94.0689;0.940689;1251
100;05.02.19;93.8953;0.938953;1250
100;06.02.19;93.8713;0.938713;1249
100;07.02.19;94.1081;0.941081;1248
100;08.02.19;94.5573;0.945573;1247
100;09.02.19;94.6458;0.946458;1246
100;12.02.19;94.1243;0.941243;1245
100;13.02.19;94.1202;0.941202;1244
100;14.02.19;94.0950;0.94095;1243
100;15.02.19;95.3473;0.953473;1242
100;16.02.19;95.5924;0.955924;1241
100;19.02.19;94.9778;0.949778;1240
100;20.02.19;94.9135;0.949135;1239
100;21.02.19;94.3642;0.943642;1238
100;22.02.19;93.9913;0.939913;1237
100;23.02.19;93.8743;0.938743;1236
100;26.02.19;93.6541;0.936541;1235
100;27.02.19;94.2113;0.942113;1234
100;28.02.19;94.3564;0.943564;1233
100;01.03.19;94.5466;0.945466;1232
100;02.03.19;94.4389;0.944389;1231
100;05.03.19;94.3983;0.943983;1230
100;06.03.19;94.4052;0.944052;1229
100;07.03.19;94.4121;0.944121;1228
100;08.03.19;94.6000;0.946;1227
100;12.03.19;94.7330;0.94733;1226
100;13.03.19;94.2902;0.942902;1225
100;14.03.19;93.9132;0.939132;1224
100;15.03.19;93.6993;0.936993;1223
100;16.03.19;93.7251;0.937251;1222
100;19.03.19;92.7160;0.92716;1221
100;20.03.19;91.9408;0.919408;1220
100;21.03.19;91.9437;0.919437;1219
100;22.03.19;91.1824;0.911824;1218
100;23.03.19;91.2228;0.912228;1217
100;26.03.19;92.4721;0.924721;1216
100;27.03.19;91.9976;0.919976;1215
100;28.03.19;92.5792;0.925792;1214
100;29.03.19;92.8384;0.928384;1213
100;30.03.19;92.7431;0.927431;1212
100;02.04.19;93.7215;0.937215;1211
100;03.04.19;93.5336;0.935336;1210
100;04.04.19;93.3580;0.93358;1209
100;05.04.19;93.5598;0.935598;1208
100;06.04.19;93.6730;0.93673;1207
100;09.04.19;93.3569;0.933569;1206
100;10.04.19;92.5512;0.925512;1205
100;11.04.19;92.4885;0.924885;1204
100;12.04.19;92.0013;0.920013;1203
100;13.04.19;92.3983;0.923983;1202
100;16.04.19;91.7813;0.917813;1201
100;17.04.19;91.8402;0.918402;1200
100;18.04.19;91.7103;0.917103;1199
100;19.04.19;91.7516;0.917516;1198
100;20.04.19;91.6040;0.91604;1197
100;23.04.19;91.3936;0.913936;1196
100;24.04.19;91.3611;0.913611;1195
100;25.04.19;91.6616;0.916616;1194
100;26.04.19;92.7303;0.927303;1193
100;27.04.19;92.6346;0.926346;1192
100;30.04.19;92.6483;0.926483;1191
100;01.05.19;92.5620;0.92562;1190
100;07.05.19;93.3370;0.93337;1189
100;08.05.19;93.4001;0.934001;1188
100;09.05.19;93.1884;0.931884;1187
100;14.05.19;93.7298;0.937298;1186
100;15.05.19;93.2879;0.932879;1185
100;16.05.19;92.8402;0.928402;1184
100;17.05.19;92.4263;0.924263;1183
100;18.05.19;92.5307;0.925307;1182
100;21.05.19;92.3247;0.923247;1181
100;22.05.19;92.3940;0.92394;1180
100;23.05.19;92.2860;0.92286;1179
100;24.05.19;92.3283;0.923283;1178
100;25.05.19;92.4991;0.924991;1177
100;28.05.19;92.2886;0.922886;1176
100;29.05.19;92.2057;0.922057;1175
100;30.05.19;92.7382;0.927382;1174
100;31.05.19;93.1400;0.9314;1173
100;01.06.19;93.4155;0.934155;1172
100;04.06.19;93.8507;0.938507;1171
100;05.06.19;93.2876;0.932876;1170
100;06.06.19;93.0374;0.930374;1169
100;07.06.19;93.1914;0.931914;1168
100;08.06.19;93.2466;0.932466;1167
100;11.06.19;92.5665;0.925665;1166
100;12.06.19;92.2887;0.922887;1165
100;14.06.19;92.3790;0.92379;1164
100;15.06.19;92.0992;0.920992;1163
100;18.06.19;92.1471;0.921471;1162
100;19.06.19;92.1048;0.921048;1161
100;20.06.19;91.6085;0.916085;1160
100;21.06.19;90.7483;0.907483;1159
100;22.06.19;90.5082;0.905082;1158
100;25.06.19;90.1928;0.901928;1157
