	a7	a8	a9
01	1.331796	0.3899198	1.295201
02	1.382911	0.3166167	1.02153
03	1.204686	0.3374775	1.308317
04	1.118755	0.9997439	1.769317
05	1.281797	0.6868147	1.231948
06	1.129783	0.5413694	1.431436
07	1.166224	0.3334748	1.305718
08	-0.875	0.02263	-2.285046
09	-1.064238	-0.2543	-2.156668
10	-1.042244	-0.5682	-2.358989
11	-1.145069	-0.7437	-2.192792
12	-1.244699	-0.14009	-1.939161
13	-1.373887	-0.169	-2.045
14	-1.267926	-0.5165	-2.086844
15	-1.260129	-0.6963	-2.151247
16	0.008321	2.252126	0.2615885
17	-0.1014	2.465991	0.5695535
18	-0.1653	2.174782	0.4404798
19	-0.1624	2.328163	0.7054544
20	-0.403903	2.268283	0.4840184
21	-0.3743	2.081062	0.2608646
22	-0.4713	1.815057	0.4101263
23	-0.4548	1.780751	0.4044273
24	1.640781	-0.5362	-1.570892
25	1.51311	-0.6579	-1.518885
26	1.50847	-0.888	-1.556659
27	1.417369	-0.9736	-1.333246
28	1.324434	-0.7274	-1.403358
29	1.352808	-0.9155	-1.58138
30	1.281251	-1.134066	-1.511721
31	1.335256	-1.336868	-1.588991
32	0.9315593	-2.827924	-2.711986
33	0.8864801	-3.085609	-2.449031
34	0.8384389	-2.994035	-2.28726
35	0.7642042	-3.011829	-2.25421
36	0.7274048	-2.833165	-2.006027
37	0.8566907	-2.936057	-2.136167
38	0.6501008	-3.008827	-2.241559
39	0.8698579	-2.974011	-1.998845
