	a7	a8	a9
01	-2.154044	-0.279475	-0.9048
02	-2.002206	-0.2557	-0.9393
03	-2.101978	-0.2491	-0.8125
04	-2.43541	-0.543	-0.6435
05	-2.131556	-0.408244	-0.8001
06	-2.116582	-0.3095	-0.752824
07	-2.050131	-0.2342	-0.8077
08	1.472337	-0.1648	0.538386
09	1.509078	-0.02454	0.6281453
10	1.667584	0.1219945	0.564212
11	1.630403	0.2204924	0.6076669
12	1.463483	-0.03279	0.7788173
13	1.614212	-0.03508	0.8460846
14	1.613436	0.1331955	0.7266671
15	1.733689	0.2483689	0.6600541
16	-1.283273	-1.354522	0.4701841
17	-1.446896	-1.43946	0.5777714
18	-1.311967	-1.316187	0.5799552
19	-1.500677	-1.375705	0.5984779
20	-1.191215	-1.314034	0.7530882
21	-1.014938	-1.222721	0.6906169
22	-1.104065	-1.135932	0.7384456
23	-1.065075	-1.109825	0.6946333
24	0.06493	0.2220479	-1.461112
25	0.1227392	0.2942394	-1.398125
26	0.1787722	0.3962537	-1.439509
27	0.02796	0.4172021	-1.364933
28	0.1479468	0.347981	-1.27272
29	0.2843119	0.430347	-1.333879
30	0.2939265	0.5343878	-1.32116
31	0.4031935	0.6561599	-1.428411
32	1.492478	1.351175	-1.361664
33	1.424854	1.525711	-1.393947
34	1.30835	1.458353	-1.343595
35	1.286157	1.458279	-1.269774
36	1.211408	1.449194	-1.24967
37	1.260467	1.498947	-1.365704
38	1.432992	1.523885	-1.229977
39	1.174742	1.513513	-1.393722
